,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
10,19.17,21.04,15.77,16.23,16.24,14.10,13.34,12.78,13.69,12.58,13.97,10.78,14.49,11.31,13.71,8.98,13.69,7.91,13.24,11.32,7.02,12.04,11.27,8.15,8.56,8.01,11.48,7.79,7.62,7.51,4.43,7.22,8.58,6.59,6.62,6.27,6.20,6.06,5.87,5.75,5.65,5.49,5.21,4.94,4.78,4.69,4.65,4.56,4.47,4.39,4.31,4.30,4.23,4.11,4.06,4.07,4.02,3.97,3.91,3.85,3.86,3.85,3.79,3.72,3.71,3.69,3.67,3.59,3.51,3.49,3.46,3.44,3.36,3.23,3.16,3.15,3.14,3.13,3.07,3.00,3.00,3.00,2.94,2.82
11,17.23,15.89,16.30,14.15,16.76,15.30,14.37,13.00,12.75,17.72,14.50,9.21,11.33,9.93,14.11,7.94,9.52,12.87,12.90,11.13,12.10,6.47,10.95,7.50,9.21,9.89,9.33,9.26,9.42,6.74,8.64,6.46,8.08,5.00,7.08,6.73,6.59,6.38,6.17,6.04,5.92,5.70,5.42,5.20,5.11,5.08,4.99,4.83,4.67,4.58,4.56,4.55,4.47,4.35,4.29,4.29,4.24,4.13,4.08,4.09,4.09,4.09,4.03,3.90,3.83,3.82,3.81,3.79,3.76,3.74,3.72,3.69,3.67,3.53,3.40,3.38,3.37,3.36,3.35,3.35,3.34,3.34,3.22,3.05
12,15.86,18.21,19.25,18.31,21.06,17.57,16.75,14.05,17.10,16.45,13.92,13.37,13.66,12.74,13.05,9.58,11.21,15.49,13.38,9.49,10.86,11.04,15.23,12.77,12.83,9.70,12.02,7.65,10.31,9.37,8.67,8.60,6.43,4.76,7.98,7.56,7.34,7.10,6.89,6.79,6.65,6.40,6.23,6.13,5.98,5.85,5.70,5.55,5.44,5.34,5.25,5.17,5.15,5.01,4.88,4.82,4.77,4.72,4.61,4.50,4.45,4.45,4.45,4.33,4.20,4.19,4.18,4.16,4.14,4.12,4.09,4.01,3.92,3.84,3.76,3.74,3.72,3.71,3.70,3.69,3.63,3.57,3.50,3.44
13,20.43,19.34,18.70,19.26,19.53,19.16,18.11,15.85,17.08,15.48,12.08,13.61,17.82,13.92,15.55,13.31,14.63,13.65,11.93,11.77,10.53,12.97,9.44,12.39,12.49,12.78,11.24,10.61,10.89,8.09,8.23,8.07,8.27,11.63,9.35,8.83,8.60,8.35,8.09,7.97,7.79,7.58,7.38,7.19,7.02,6.89,6.78,6.63,6.54,6.49,6.38,6.22,6.13,6.05,5.98,5.85,5.73,5.74,5.69,5.46,5.29,5.30,5.24,5.12,5.06,5.05,5.04,4.97,4.89,4.86,4.83,4.74,4.65,4.63,4.60,4.51,4.43,4.35,4.28,4.27,4.20,4.08,4.02,3.95
14,24.63,22.26,20.72,18.71,19.96,18.74,20.73,19.50,20.52,19.77,23.63,19.17,20.83,18.63,18.07,20.90,16.14,13.49,13.90,13.57,12.31,17.63,15.32,12.09,14.18,13.22,13.24,8.53,13.27,14.89,9.13,8.75,11.36,11.64,11.00,10.35,10.03,9.77,9.49,9.26,9.05,8.78,8.50,8.29,8.15,8.03,7.98,7.89,7.75,7.65,7.59,7.42,7.25,7.22,7.14,6.93,6.80,6.81,6.76,6.59,6.49,6.44,6.33,6.28,6.22,6.15,6.15,6.01,5.87,5.79,5.70,5.67,5.63,5.60,5.56,5.47,5.38,5.24,5.10,5.08,5.06,5.00,4.93,4.81
15,28.59,24.62,21.79,27.84,22.95,21.83,22.47,26.55,20.03,21.04,21.83,19.18,21.92,17.04,21.92,22.21,26.50,17.26,21.33,14.48,18.68,14.45,16.24,17.65,13.09,18.24,13.13,15.50,14.80,15.61,9.14,12.04,13.08,13.23,12.96,12.25,11.84,11.44,11.15,10.91,10.63,10.31,10.07,9.90,9.75,9.52,9.34,9.24,9.06,8.86,8.76,8.56,8.38,8.33,8.24,8.03,7.89,7.87,7.76,7.65,7.67,7.57,7.46,7.41,7.30,7.24,7.24,7.11,6.97,6.89,6.80,6.71,6.55,6.45,6.41,6.31,6.21,6.12,6.03,5.95,5.87,5.85,5.84,5.77
16,26.71,30.94,29.67,26.96,26.41,26.44,24.18,25.44,27.28,28.97,24.46,24.23,30.14,20.64,24.79,26.61,23.57,31.27,22.90,20.52,25.27,24.64,20.20,23.97,23.56,18.28,18.87,14.55,19.77,18.10,13.33,10.98,13.33,18.69,15.18,14.24,13.85,13.47,13.12,12.86,12.50,12.11,11.88,11.67,11.42,11.13,10.88,10.69,10.43,10.15,10.02,9.91,9.71,9.58,9.53,9.37,9.21,9.13,9.00,8.88,8.83,8.74,8.64,8.53,8.43,8.38,8.26,8.14,8.07,7.99,7.90,7.81,7.65,7.49,7.38,7.28,7.17,7.13,7.09,7.00,6.85,6.71,6.64,6.62
17,32.31,29.56,35.51,34.66,33.84,28.14,30.60,31.23,29.82,29.02,36.36,31.42,30.27,26.65,26.16,29.97,30.76,32.17,30.71,23.57,26.57,28.25,26.34,22.96,24.78,24.77,25.37,23.19,19.35,23.47,17.35,17.25,14.13,16.41,17.19,15.99,15.57,15.22,14.85,14.57,14.21,13.81,13.51,13.23,12.93,12.61,12.43,12.28,11.90,11.55,11.41,11.35,11.17,10.97,10.89,10.77,10.60,10.45,10.36,10.22,10.11,9.94,9.79,9.69,9.53,9.37,9.20,9.14,9.08,8.95,8.87,8.78,8.68,8.58,8.47,8.42,8.31,8.20,8.15,8.11,7.95,7.69,7.55,7.52
18,41.06,29.82,34.25,26.82,29.27,36.21,34.24,33.41,37.34,29.05,28.39,32.97,27.59,25.66,30.67,31.40,29.46,32.30,30.35,38.54,29.55,26.45,26.33,27.88,27.48,25.87,26.45,28.74,22.94,22.07,18.96,15.65,18.94,20.29,18.89,17.71,17.28,16.82,16.44,16.10,15.59,15.28,15.05,14.72,14.41,14.03,13.70,13.50,13.22,12.90,12.68,12.63,12.46,12.21,12.06,11.91,11.79,11.68,11.58,11.43,11.30,11.12,10.96,10.87,10.72,10.56,10.39,10.29,10.11,9.93,9.86,9.72,9.63,9.59,9.48,9.37,9.25,9.14,9.08,8.97,8.80,8.65,8.55,8.47
19,31.18,33.81,34.34,30.43,28.22,32.23,31.83,31.00,34.28,31.15,35.58,31.85,32.11,29.56,32.41,32.67,29.44,30.58,30.90,34.46,24.25,31.43,29.27,33.94,27.86,25.55,24.25,27.23,24.57,25.42,21.74,19.70,18.50,21.21,20.52,19.25,18.84,18.24,17.76,17.40,16.86,16.57,16.30,15.92,15.63,15.30,14.90,14.57,14.36,14.13,13.93,13.85,13.63,13.35,13.10,12.88,12.73,12.67,12.49,12.33,12.24,12.11,12.00,11.90,11.75,11.66,11.45,11.23,11.06,10.89,10.71,10.52,10.44,10.35,10.25,10.14,10.02,9.90,9.84,9.73,9.61,9.50,9.40,9.30
