,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
22,420130,405927,397718,390183,394485,399564,392106,403663,415802,424993,433582,440168,455500,466906,478194,487516,486852,471845,468985,454912,449859,434746,435997,420685,397135,370552,357333,346406,333747,337538,360485,378960,380154,374813,390129,401191,418773,412839,402939,424133,431718,442113,450644,439199,433886
23,447176,419814,406193,397109,389536,395455,398670,389946,402677,413076,422048,425948,436896,456834,465464,475672,485257,483367,468466,467344,453097,447971,433134,434055,420490,396725,370328,357377,348844,336437,342457,366232,383922,390750,386454,398818,412288,424834,415746,413314,436069,436112,446087,456303,446514
24,489364,446871,418412,405774,395269,388822,394175,396870,388831,400725,407976,414415,422078,438355,456375,463513,473646,481916,479402,468799,465385,451252,445879,431024,433373,419717,396120,369705,359755,351659,342750,348145,371626,395603,402316,396861,410931,417962,427450,427114,423165,438518,438115,449819,462222
25,388770,489608,446094,417551,404493,394085,386371,391882,394839,386091,396882,399864,410300,423418,437502,455007,461420,470274,478555,479772,465881,464089,449701,444350,431661,434141,419549,396635,373304,365353,357748,349971,353523,377445,404961,409490,406740,418272,417695,429962,433531,425693,440777,441942,455341
26,382244,387832,487892,445172,416693,403957,392555,384488,390542,391597,382479,390742,397140,411547,422670,436022,454064,458666,467937,477798,476401,464684,462885,448888,445556,432331,433846,419568,399561,378190,371042,363786,355182,358315,386436,412470,418602,414984,418907,419887,435689,434997,428079,444300,446764
27,385667,382611,386538,486916,444794,416228,402565,390978,383141,389406,387765,378323,389672,398433,411596,421572,434876,452229,457243,466930,475334,474236,463608,462403,450180,445866,432156,434155,422494,404296,383809,376588,368599,359831,366241,394060,421907,426404,417130,422058,425126,437079,437077,430844,448965
28,368551,384934,381796,385264,486422,443950,414375,401319,390063,380883,386221,383902,377436,390584,398219,410604,420291,432739,450829,456440,465058,472213,472011,462953,463689,451212,445436,432021,436513,426637,408912,389098,381226,372664,367762,372961,403371,430303,428595,421783,428262,425550,438543,439341,434633
29,337440,367874,384746,380150,384270,485605,442310,412809,400129,388561,377941,382264,382740,378256,390124,397215,409379,418025,431849,450553,454073,462933,470059,471193,463966,464142,451270,445603,434274,440461,430324,413536,393506,384936,379587,373910,380791,411457,433032,432716,428925,428918,427226,440786,443500
30,317525,336810,367242,383275,378693,383139,483914,440738,412279,397916,385920,374239,380893,383347,378319,389580,396511,408088,417748,430791,449767,451927,460892,468430,471350,464778,464199,450912,447247,437589,443470,430688,414418,394515,388188,382094,376420,386360,416967,434054,434468,428618,430041,428785,443494
31,336791,316771,336292,366127,381912,377547,381878,482380,440221,410867,395409,382700,372952,380866,383215,377550,388846,395103,407568,416052,429763,447092,450223,459782,468178,471216,464665,464235,452642,450337,440882,443890,431590,415573,397487,390067,384108,381179,390374,418092,436318,434272,429646,431942,431902
