Age,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
22,413971,397137,386195,376640,380623,383458,375433,387038,398383,411425,421358,429982,447071,459501,469517,478172,478468,466819,458880,447307,443403,426705,431416,411441,389154,365758,353664,343298,333080,337549,359230,380070,384517,377901,387363,396772,412746,415513,413622,424691,423010,424725,434604,431518,418170
23,443224,413403,398080,386183,376822,381269,384264,375877,386823,399465,411669,418698,428232,447379,460008,470196,478028,477592,467251,459015,448646,444505,428099,433370,414749,391899,368381,356112,348204,338841,344491,367187,387314,393983,392452,401684,407017,422241,420480,421609,434139,428938,430208,440820,439399
24,481265,442421,412663,398110,385483,377091,381720,384957,375537,386974,399641,408354,416994,428489,447866,460802,469844,477037,477580,467361,460272,449304,445085,429848,435033,416930,394059,370857,360927,352670,345593,351258,374286,397039,407742,406713,413433,416673,427027,427360,429936,437730,432384,434310,446869
25,381246,479864,441517,410592,395682,384441,376802,381783,384013,375183,387563,396389,406694,417583,428879,448525,460530,468854,477063,477729,468960,460985,450053,446595,431804,436614,419340,396893,376146,367986,357524,349879,356463,382066,408562,414187,415765,418624,419500,431184,430890,432413,440297,435672,439199
26,374688,379593,479034,438915,408027,394744,384106,376232,380770,383758,375719,384291,394562,407354,418486,429601,448385,459315,468842,477033,478825,469079,461823,451954,448310,433515,438431,422460,401765,382736,372191,361717,355046,362729,392815,415227,422475,420976,423259,423853,434445,433097,434845,443412,440630
27,376319,373129,378230,476457,436258,407317,394263,383367,375085,380310,381338,372323,382176,394902,408208,419583,429467,447422,459466,468652,477660,478006,469318,463889,453782,449758,435513,440597,427116,407703,386802,375782,366423,361056,371455,398984,423379,426983,425419,429033,427294,436159,435303,437881,448203
28,360926,375267,372118,375498,473867,435508,407051,393568,382440,374268,379534,378067,370059,382043,395551,409406,419586,428349,447240,458795,469120,476393,477139,470392,464997,455336,451084,437489,443757,433061,411401,389965,380148,372063,369332,376335,406555,428085,431072,431238,433973,428939,437827,437818,442025
29,330575,359844,374321,369581,373750,473345,434981,406492,392594,381798,372798,376033,375773,369931,382202,396337,409512,418826,428008,446389,458941,468276,475373,477733,470939,466349,456932,452686,440390,447755,436287,414000,393764,385293,379660,373756,382045,411012,432199,436054,436106,435282,430737,440427,441974
30,309586,329343,358727,372220,367351,373564,472750,434096,405402,391687,379141,370041,374464,375775,370465,383348,397211,409877,419322,428074,447437,457446,467244,475552,477510,471625,467840,458331,455427,444453,450321,438452,416466,395385,391313,385165,375748,386877,413623,436087,439051,437079,436631,432652,443595
31,328340,308532,328792,357299,370535,367150,373349,471920,433126,405147,391013,377035,368967,374604,376471,371543,383647,397210,410305,420043,428919,446813,456763,467856,475201,477627,472447,468855,460367,458180,446395,452606,440107,417841,400326,395926,387000,380013,388352,417291,439370,439897,438111,437706,434663
32,329063,327698,308047,327251,355679,370392,366877,372341,471121,432940,404299,389429,376253,369218,375564,377741,372081,383767,397952,411638,421525,428634,446177,457363,467653,475385,478050,472924,470525,463037,460038,448305,455014,440886,422322,404412,397614,391233,381643,390768,420458,440236,440844,439177,439796
33,326540,328477,327170,305967,326433,355135,370340,366179,371974,470805,432633,403185,388959,376586,370234,376835,378251,372341,384162,399299,413297,421315,428378,446740,456966,467757,475491,478174,473973,472736,464613,461683,449870,456095,444151,425471,405603,401115,392864,383934,392630,420837,440949,441830,441050
34,323709,325855,328050,325124,304461,325893,354730,369642,365955,371622,470712,431999,403327,389514,377901,371682,377596,378801,372762,385529,401096,413325,420921,428993,446250,456830,467812,475295,478592,475680,474120,466084,463045,450470,459627,446694,426441,408755,402638,395310,386014,392638,421492,441771,443329
35,319679,323077,325316,326728,322896,303909,325738,354091,369192,365644,371176,470500,432490,404002,390829,378527,372199,377896,379377,374120,386580,400665,412936,421051,428011,445538,456272,467367,475486,479312,476154,475090,465793,464508,451861,461586,448115,428223,411120,403666,395571,385975,393045,422429,443039
36,315235,319245,322340,324149,325515,322302,303400,325138,353787,368852,365240,370643,470502,432678,404884,391576,379440,372589,378305,380303,375151,386910,400743,413850,420710,427973,445657,456247,468165,476509,479485,477227,474411,467068,465644,453086,463389,449189,430122,411814,403845,395704,386510,394056,424046
37,307197,314406,318718,320987,323172,324908,321608,302759,324801,353211,368278,364722,370042,470550,433147,405159,391724,379382,372530,378882,380883,375760,387003,401359,413429,420317,427677,445162,456245,468446,476076,480667,476889,475202,468103,466697,454242,464985,450584,430626,411842,403708,395933,387381,395566
38,311161,306425,313799,317423,320191,322546,324045,320934,302630,324300,352927,367203,363902,369417,470501,432832,404624,391276,378630,372631,378976,380855,376121,387726,400997,413499,420078,427571,445314,456710,468290,477229,480547,477822,475605,469098,467825,455327,466928,450501,430362,411951,404075,396783,388680
39,321572,310104,305779,312492,316345,319531,321919,323401,320601,302408,324131,351742,366477,363512,369257,470254,432461,404305,390529,379108,372810,378996,381052,377077,387629,401199,413691,420085,427922,446024,456720,468981,477059,481568,478212,476046,469967,468528,456501,467502,449741,430330,412159,404722,398028
40,330442,321060,309513,304897,311033,315791,318888,321704,323160,320293,301933,322998,350790,366092,363531,369166,469682,431580,403426,390565,378911,372850,378466,381395,377065,387668,401027,413468,419872,428401,445137,457387,469003,477572,482057,477790,477034,468838,469214,457006,468191,449826,430588,412857,406065
41,334731,329656,320576,308503,303408,310691,315104,318580,321596,323086,319967,300822,322026,350212,366027,363340,368615,469298,431236,403651,390835,378808,372881,378501,381109,377202,387636,400866,413747,420421,427816,445342,457434,469086,478094,481700,478897,475382,469367,469574,456966,468105,449873,430848,413492
42,332013,334003,328953,319468,307711,302964,310107,314755,318182,321411,322830,318767,299923,321431,349934,365759,362947,368034,469393,431358,403787,390559,378491,373053,378026,380942,377190,387549,401067,414387,420004,428040,445002,457630,469142,477747,482873,477503,475338,469605,469434,457121,468257,450316,431616
43,331418,330872,333509,327891,318123,307131,302274,309583,314428,317709,321111,321749,317862,299220,321156,349504,365342,362648,367689,469000,431339,403461,390173,378290,372868,377658,380780,377261,387747,401531,413943,420247,427863,444738,457844,468492,478760,481706,477527,474995,469357,469260,456953,468327,450901
44,337914,330257,329985,332486,326926,317441,306320,301948,309424,314102,317106,320098,321026,317051,298866,320646,348979,364896,362676,367269,468801,431389,402880,390103,377776,372820,377441,380681,377886,388438,401097,413912,420134,427650,444556,457338,468977,477748,481862,477312,474193,469322,469191,456926,468750
45,345904,336893,329200,328781,331148,326101,316753,305746,301574,309040,313653,315991,319319,320472,316425,298165,319944,348104,364427,362073,366795,466280,430683,402264,389232,377155,372481,376671,380599,378432,387634,400011,413299,419239,427228,443727,457306,468845,477504,481194,476570,474145,469370,469288,457361
46,347221,344798,335878,327919,327276,329894,325213,316288,305011,301267,308534,312641,315071,318676,320051,315724,297509,319318,347798,364111,361936,366888,464582,430413,401454,388744,376668,372178,376543,380760,377685,386776,399485,412191,418903,426532,443320,457296,468253,476875,480677,476341,474091,469488,469734
47,354791,346015,343630,334415,326398,326149,328917,324515,315544,304495,300650,307544,311835,314342,318263,319487,314904,296766,318901,347257,363957,361797,367078,462403,429480,400718,387892,375909,372013,376554,379929,376545,386335,398574,411498,418220,426132,442843,456950,467296,476378,480379,476313,474146,469923
